n°,Giocatore,Squadra,Ruolo,Anno,Altezza,P.S.,P.G,Media
1,Benassi Andrea,Seriana  Alzano,G/A,1982,201,438,24,"18,25"
2,Borghi Gianluca,Csa Agrate  Brianza,A,1982,195,393,30,"13,10"
3,Carrera Alessandro,Romano  Lombardo BK,P,1987,183,387,27,"14,33"
4,Comerio Alessandro,Seriana  Alzano,P/G,1993,187,382,26,"14,69"
5,Mezzanotte Andrea,Remer  Bluorobica Bergamo,A,1998,206,372,29,"12,83"
6,Lanfredi Stefano,New Basket  Prevalle,P,1986,182,371,30,"12,37"
7,Milovanovic Milos,New Basket  Prevalle,C,1996,202,355,30,"11,83"
8,Montagnosi Luca,XXL Bergamo,P,1988,182,354,29,"12,21"
9,Marelli Sandro,Pall.  Gardonese,P/G,1991,192,354,30,"11,80"
10,Bolis Alessio,Virtus  Brescia,P/G,1997,188,353,27,"13,07"
11,Carrara Giorgio,Romano  Lombardo BK,A,1991,204,344,30,"11,47"
12,Coppi Carlo,Pall.  Gardonese,C,1981,201,342,28,"12,21"
13,Corona Cristian,Bk Lions  Del Chiese,c,,195,339,26,"13,04"
14,Buzzini Roberto,Fortitudo  Busnago,P,1995,175,337,28,"12,04"
15,Pozzi Dario,Csa Agrate  Brianza,P/G,1986,184,334,26,"12,85"
16,Galbiati Alberto,XXL Bergamo,A/C,1985,200,331,29,"11,41"
17,Raimondi Mauro,Romano  Lombardo BK,G,1988,183,331,30,"11,03"
18,Mora Matteo,New Basket  Prevalle,A,1986,198,330,29,"11,38"
19,Crepaz Matteo,Sas  Verolanuova,G,1989,180,324,27,"12,00"
20,Veronesi Giovanni,Remer  Bluorobica Bergamo,G/A,1998,190,323,26,"12,42"
21,Orlandi Matteo,Seriana  Alzano,P/G,1993,180,320,30,"10,67"
22,Ariazzi Matteo,Torrazzo JR  Cremona,G,1997,190,319,28,"11,39"
23,Santos e Santos Rafael,Sas  Verolanuova,A/C,1989,198,319,30,"10,63"
24,Moschini Andrea,Di.Po.  Vimercate,G,1978,177,316,29,"10,90"
25,Chahab Matias,New Basket  Prevalle,G/A,1980,193,315,14,"22,50"
26,Apollonio Luca,Sas  Verolanuova,P/G,1995,182,314,28,"11,21"
27,Fontana Stefano,Torrazzo JR  Cremona,A,1995,195,314,29,"10,83"
28,Balogun Michael,Pall.  Gardonese,G,1994,195,311,29,"10,72"
29,Romanelli,Bk Lions  Del Chiese,xx,,,307,28,"10,96"
30,Brioschi Stefano,Fortitudo  Busnago,P/G,1993,183,305,26,"11,73"
31,Pasini Alessandro,Sas  Verolanuova,G/A,1986,190,305,29,"10,52"
32,Fossati Fabrizio,Di.Po.  Vimercate,G,1990,185,304,29,"10,48"
33,Parsani Mattia,XXL Bergamo,G,1988,190,304,30,"10,13"
34,Bergomi Giordano,New Basket  Prevalle,G,1990,185,301,30,"10,03"
35,Patti Marco,Pall.  Gardonese,G,1990,185,291,29,"10,03"
36,Galli Fabio,Gagà Milano  Varedo,A/C,1989,195,289,29,"9,97"
37,Novati Marco,U.S.S.A. Nova,P/G,1981,178,280,25,"11,20"
38,Colombo Andrea,Di.Po.  Vimercate,P,1989,185,280,25,"11,20"
39,Silva Bruno,Seriana  Alzano,G,1996,195,279,28,"9,96"
40,Speronello Davide,Virtus  Brescia,G/A,1995,193,269,17,"15,82"
41,Dessì Nicholas,Remer  Bluorobica Bergamo,P/G,1998,198,267,24,"11,13"
42,Mora Marco,XXL Bergamo,A/C,1985,196,266,27,"9,85"
43,Tremolada Stefano,Di.Po.  Vimercate,A,1989,195,265,30,"8,83"
44,Gualandris Luca,Romano  Lombardo BK,G,1984,185,265,30,"8,83"
45,Caglio Federico,Gagà Milano  Varedo,P,1994,187,264,30,"8,80"
46,Bianchi Andrea,Gagà Milano  Varedo,G,1979,190,261,27,"9,67"
47,Fall Khadim,XXL Bergamo,C,1990,207,260,25,"10,40"
48,Ghislandi Thomas,Fortitudo  Busnago,A/C,1994,195,260,30,"8,67"
